"id","clave","nombre","numeroLatitud","numeroLongitud","numeroAltitud","claveCarta","entidades_id","municipios_id","created_at","updated_at","deleted_at"
"11303","0948","Santa Rosa Dos","165657","914039","798","E15D54","7","59",,,
"11304","0949","Puerto Rico","165554.012","913638.016","962","E15D55","7","59",,,
"11305","0951","Santo Tomás Axín","165339.984","915823.988","860","E15D54","7","59",,,
"11306","0954","La Esperanza","165444.167","920419.888","859","E15D53","7","59",,,
"11307","0955","Los Mochis","165344.016","920450.988","868","E15D53","7","59",,,
"11308","0956","El Esfuerzo","165438.988","920404.008","860","E15D53","7","59",,,
"11309","0957","San Ángel","165410.008","913732.016","624","E15D55","7","59",,,
"11310","0958","El Naranjo","165729.016","920545.996","1045","E15D53","7","59",,,
"11311","0969","Las Vegas","165724.984","920634.992","919","E15D53","7","59",,,
"11312","0970","Vista Alegre","165344.988","920450.016","867","E15D53","7","59",,,
"11313","0972","La Nueva Esperanza","165930.984","915119.008","818","E15D54","7","59",,,
"11314","0973","La Estrella","165852.719","915124.424","785","E15D54","7","59",,,
"11315","0974","El Laurel","165936.996","915008.016","882","E15D54","7","59",,,
"11316","0975","El Cacao","165702.016","915228.992","750","E15D54","7","59",,,
"11317","0978","La Nueva Esperanza","165827.012","915030.012","793","E15D54","7","59",,,
"11318","0982","San Miguel","165930.984","914933.996","870","E15D54","7","59",,,
"11319","0983","Santa Rosa de Lima","165929.004","914930","839","E15D54","7","59",,,
"11320","0990","Nueva América","165812","915115.012","720","E15D54","7","59",,,
"11321","0991","Las Margaritas","165855.992","914904.008","757","E15D54","7","59",,,
"11322","0992","Lindavista","165903.012","914901.992","704","E15D54","7","59",,,
"11323","0993","San Felipe","165929.004","914846.008","773","E15D54","7","59",,,
"11324","0995","San Martín","165832.016","915048.012","787","E15D54","7","59",,,
"11325","0996","Nuevo Laredo","165826.004","915057.984","739","E15D54","7","59",,,
"11326","0997","Chachib","165911.883","915136.114","864","E15D54","7","59",,,
